xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
-1.24	-1.2	-1.22 -2.1	thresh	-1.22	thresh	-2.1	1	3112
-1.2	-1.16	-1.18 -2.1	thresh	-1.18	thresh	-2.1	1	3010
-1.16	-1.12	-1.14 -2.1	thresh	-1.14	thresh	-2.1	1	2908
-1.12	-1.08	-1.1 -2.1	thresh	-1.1	thresh	-2.1	1	2806
-1.08	-1.04	-1.06 -2.1	thresh	-1.06	thresh	-2.1	1	2704
-1.04	-1	-1.02 -2.1	thresh	-1.02	thresh	-2.1	1	2602
-1	-0.96	-0.98 -2.1	thresh	-0.98	thresh	-2.1	1	2500
-0.96	-0.92	-0.94 -2.1	thresh	-0.94	thresh	-2.1	1	2398
-0.92	-0.88	-0.9 -2.1	thresh	-0.9	thresh	-2.1	1	2296
-0.88	-0.84	-0.86 -2.1	thresh	-0.86	thresh	-2.1	1	2194
-0.84	-0.8	-0.82 -2.1	thresh	-0.82	thresh	-2.1	1	2092
-0.8	-0.76	-0.78 -2.1	thresh	-0.78	thresh	-2.1	1	1990
-0.76	-0.72	-0.74 -2.1	thresh	-0.74	thresh	-2.1	1	1888
-0.72	-0.68	-0.7 -2.1	thresh	-0.7	thresh	-2.1	1	1786
-0.68	-0.64	-0.66 -2.1	thresh	-0.66	thresh	-2.1	1	1684
-0.64	-0.6	-0.62 -2.1	thresh	-0.62	thresh	-2.1	1	1582
-0.6	-0.56	-0.58 -2.1	thresh	-0.58	thresh	-2.1	1	1480
-0.56	-0.52	-0.54 -2.1	thresh	-0.54	thresh	-2.1	1	1378
-0.52	-0.48	-0.5 -2.1	thresh	-0.5	thresh	-2.1	1	1276
-0.48	-0.44	-0.46 -2.1	thresh	-0.46	thresh	-2.1	1	1174
-0.44	-0.4	-0.42 -2.1	thresh	-0.42	thresh	-2.1	1	1072
-0.4	-0.36	-0.38 -2.1	thresh	-0.38	thresh	-2.1	1	970
-0.36	-0.32	-0.34 -2.1	thresh	-0.34	thresh	-2.1	1	868
-0.32	-0.28	-0.3 -2.1	thresh	-0.3	thresh	-2.1	1	766
-0.28	-0.24	-0.26 -2.1	thresh	-0.26	thresh	-2.1	1	664
-0.24	-0.2	-0.22 -2.1	thresh	-0.22	thresh	-2.1	1	562
-0.2	-0.16	-0.18 -2.1	thresh	-0.18	thresh	-2.1	1	460
-0.16	-0.12	-0.14 -2.1	thresh	-0.14	thresh	-2.1	1	358
-0.12	-0.0800000000000001	-0.1 -2.1	thresh	-0.1	thresh	-2.1	1	256
-0.0800000000000001	-0.04	-0.0600000000000001 -2.1	thresh	-0.0600000000000001	thresh	-2.1	1	154
-0.04	0	-0.02 -2.1	thresh	-0.02	thresh	-2.1	1	52
0	0.04	0.02 -2.1	thresh	0.02	thresh	-2.1	1	5459
0.04	0.0800000000000001	0.0600000000000001 -2.1	thresh	0.0600000000000001	thresh	-2.1	1	5561
0.0800000000000001	0.12	0.1 -2.1	thresh	0.1	thresh	-2.1	1	5663
0.12	0.16	0.14 -2.1	thresh	0.14	thresh	-2.1	1	5765
0.16	0.2	0.18 -2.1	thresh	0.18	thresh	-2.1	1	5867
0.2	0.24	0.22 -2.1	thresh	0.22	thresh	-2.1	1	5969
0.24	0.28	0.26 -2.1	thresh	0.26	thresh	-2.1	1	6071
0.28	0.32	0.3 -2.1	thresh	0.3	thresh	-2.1	1	6173
0.32	0.36	0.34 -2.1	thresh	0.34	thresh	-2.1	1	6275
0.36	0.4	0.38 -2.1	thresh	0.38	thresh	-2.1	1	6377
0.4	0.44	0.42 -2.1	thresh	0.42	thresh	-2.1	1	6479
0.44	0.48	0.46 -2.1	thresh	0.46	thresh	-2.1	1	6581
0.48	0.52	0.5 -2.1	thresh	0.5	thresh	-2.1	1	6683
0.52	0.56	0.54 -2.1	thresh	0.54	thresh	-2.1	1	6785
0.56	0.6	0.58 -2.1	thresh	0.58	thresh	-2.1	1	6887
0.6	0.64	0.62 -2.1	thresh	0.62	thresh	-2.1	1	6989
0.64	0.68	0.66 -2.1	thresh	0.66	thresh	-2.1	1	7091
0.68	0.72	0.7 -2.1	thresh	0.7	thresh	-2.1	1	7193
0.72	0.76	0.74 -2.1	thresh	0.74	thresh	-2.1	1	7295
0.76	0.8	0.78 -2.1	thresh	0.78	thresh	-2.1	1	7397
0.8	0.84	0.82 -2.1	thresh	0.82	thresh	-2.1	1	7499
0.84	0.88	0.86 -2.1	thresh	0.86	thresh	-2.1	1	7601
0.88	0.92	0.9 -2.1	thresh	0.9	thresh	-2.1	1	7703
0.92	0.96	0.94 -2.1	thresh	0.94	thresh	-2.1	1	7805
0.96	1	0.98 -2.1	thresh	0.98	thresh	-2.1	1	7907
1	1.04	1.02 -2.1	thresh	1.02	thresh	-2.1	1	8010
1.04	1.08	1.06 -2.1	thresh	1.06	thresh	-2.1	1	8112
1.08	1.12	1.1 -2.1	thresh	1.1	thresh	-2.1	1	8214
1.12	1.16	1.14 -2.1	thresh	1.14	thresh	-2.1	1	8316
1.16	1.2	1.18 -2.1	thresh	1.18	thresh	-2.1	1	8418
1.2	1.24	1.22 -2.1	thresh	1.22	thresh	-2.1	1	8520
1.24	1.28	1.26 -2.1	thresh	1.26	thresh	-2.1	1	8622
1.28	1.32	1.3 -2.1	thresh	1.3	thresh	-2.1	1	8724
1.32	1.36	1.34 -2.1	thresh	1.34	thresh	-2.1	1	8826
1.36	1.4	1.38 -2.1	thresh	1.38	thresh	-2.1	1	8928
1.4	1.44	1.42 -2.1	thresh	1.42	thresh	-2.1	1	9030
1.44	1.48	1.46 -2.1	thresh	1.46	thresh	-2.1	1	9132
1.48	1.52	1.5 -2.1	thresh	1.5	thresh	-2.1	1	9234
1.52	1.56	1.54 -2.1	thresh	1.54	thresh	-2.1	1	9336
1.56	1.6	1.58 -2.1	thresh	1.58	thresh	-2.1	1	9438
1.6	1.64	1.62 -2.1	thresh	1.62	thresh	-2.1	1	9540
1.64	1.68	1.66 -2.1	thresh	1.66	thresh	-2.1	1	9642
1.68	1.72	1.7 -2.1	thresh	1.7	thresh	-2.1	1	9744
1.72	1.76	1.74 -2.1	thresh	1.74	thresh	-2.1	1	9846
1.76	1.8	1.78 -2.1	thresh	1.78	thresh	-2.1	1	9948
1.8	1.84	1.82 -2.1	thresh	1.82	thresh	-2.1	1	10050
1.84	1.88	1.86 -2.1	thresh	1.86	thresh	-2.1	1	10152
1.88	1.92	1.9 -2.1	thresh	1.9	thresh	-2.1	1	10254
1.92	1.96	1.94 -2.1	thresh	1.94	thresh	-2.1	1	10356
1.96	2	1.98 -2.1	thresh	1.98	thresh	-2.1	1	10458
-2.12	-2.08	-2.1 -2.06	thresh	-2.1	thresh	-2.06	1	5356
-2.08	-2.04	1	thresh	-2.06	thresh	-2.06	1	7957
-2.04	-2	-2.02 -2.06	thresh	-2.02	thresh	-2.06	1	5151
-2	-1.96	-1.98 -2.06	thresh	-1.98	thresh	-2.06	1	5049
-1.96	-1.92	-1.94 -2.06	thresh	-1.94	thresh	-2.06	1	4947
-1.92	-1.88	-1.9 -2.06	thresh	-1.9	thresh	-2.06	1	4845
-1.88	-1.84	-1.86 -2.06	thresh	-1.86	thresh	-2.06	1	4743
-1.84	-1.8	-1.82 -2.06	thresh	-1.82	thresh	-2.06	1	4641
-1.8	-1.76	-1.78 -2.06	thresh	-1.78	thresh	-2.06	1	4539
-1.76	-1.72	-1.74 -2.06	thresh	-1.74	thresh	-2.06	1	4437
-1.72	-1.68	-1.7 -2.06	thresh	-1.7	thresh	-2.06	1	4335
-1.68	-1.64	-1.66 -2.06	thresh	-1.66	thresh	-2.06	1	4233
-1.64	-1.6	-1.62 -2.06	thresh	-1.62	thresh	-2.06	1	4131
-1.6	-1.56	-1.58 -2.06	thresh	-1.58	thresh	-2.06	1	4029
-1.56	-1.52	-1.54 -2.06	thresh	-1.54	thresh	-2.06	1	3927
-1.52	-1.48	-1.5 -2.06	thresh	-1.5	thresh	-2.06	1	3825
-1.48	-1.44	-1.46 -2.06	thresh	-1.46	thresh	-2.06	1	3723
-1.44	-1.4	-1.42 -2.06	thresh	-1.42	thresh	-2.06	1	3621
-1.4	-1.36	-1.38 -2.06	thresh	-1.38	thresh	-2.06	1	3519
-1.36	-1.32	-1.34 -2.06	thresh	-1.34	thresh	-2.06	1	3417
-1.32	-1.28	-1.3 -2.06	thresh	-1.3	thresh	-2.06	1	3315
-1.28	-1.24	-1.26 -2.06	thresh	-1.26	thresh	-2.06	1	3213
-1.24	-1.2	-1.22 -2.06	thresh	-1.22	thresh	-2.06	1	3111
-1.2	-1.16	-1.18 -2.06	thresh	-1.18	thresh	-2.06	1	3009
-1.16	-1.12	-1.14 -2.06	thresh	-1.14	thresh	-2.06	1	2907
-1.12	-1.08	-1.1 -2.06	thresh	-1.1	thresh	-2.06	1	2805
-1.08	-1.04	-1.06 -2.06	thresh	-1.06	thresh	-2.06	1	2703
-1.04	-1	-1.02 -2.06	thresh	-1.02	thresh	-2.06	1	2601
-1	-0.96	-0.98 -2.06	thresh	-0.98	thresh	-2.06	1	2499
-0.96	-0.92	-0.94 -2.06	thresh	-0.94	thresh	-2.06	1	2397
-0.92	-0.88	-0.9 -2.06	thresh	-0.9	thresh	-2.06	1	2295
-0.88	-0.84	-0.86 -2.06	thresh	-0.86	thresh	-2.06	1	2193
-0.84	-0.8	-0.82 -2.06	thresh	-0.82	thresh	-2.06	1	2091
-0.8	-0.76	-0.78 -2.06	thresh	-0.78	thresh	-2.06	1	1989
-0.76	-0.72	-0.74 -2.06	thresh	-0.74	thresh	-2.06	1	1887
-0.72	-0.68	-0.7 -2.06	thresh	-0.7	thresh	-2.06	1	1785
-0.68	-0.64	-0.66 -2.06	thresh	-0.66	thresh	-2.06	1	1683
-0.64	-0.6	-0.62 -2.06	thresh	-0.62	thresh	-2.06	1	1581
-0.6	-0.56	-0.58 -2.06	thresh	-0.58	thresh	-2.06	1	1479
-0.56	-0.52	-0.54 -2.06	thresh	-0.54	thresh	-2.06	1	1377
-0.52	-0.48	-0.5 -2.06	thresh	-0.5	thresh	-2.06	1	1275
-0.48	-0.44	-0.46 -2.06	thresh	-0.46	thresh	-2.06	1	1173
-0.44	-0.4	-0.42 -2.06	thresh	-0.42	thresh	-2.06	1	1071
-0.4	-0.36	-0.38 -2.06	thresh	-0.38	thresh	-2.06	1	969
-0.36	-0.32	-0.34 -2.06	thresh	-0.34	thresh	-2.06	1	867
-0.32	-0.28	-0.3 -2.06	thresh	-0.3	thresh	-2.06	1	765
-0.28	-0.24	-0.26 -2.06	thresh	-0.26	thresh	-2.06	1	663
-0.24	-0.2	-0.22 -2.06	thresh	-0.22	thresh	-2.06	1	561
-0.2	-0.16	-0.18 -2.06	thresh	-0.18	thresh	-2.06	1	459
-0.16	-0.12	-0.14 -2.06	thresh	-0.14	thresh	-2.06	1	357
-0.12	-0.0800000000000001	-0.1 -2.06	thresh	-0.1	thresh	-2.06	1	255
-0.0800000000000001	-0.04	-0.0600000000000001 -2.06	thresh	-0.0600000000000001	thresh	-2.06	1	153
-0.04	0	-0.02 -2.06	thresh	-0.02	thresh	-2.06	1	51
0	0.04	0.02 -2.06	thresh	0.02	thresh	-2.06	1	5458
0.04	0.0800000000000001	0.0600000000000001 -2.06	thresh	0.0600000000000001	thresh	-2.06	1	5560
0.0800000000000001	0.12	0.1 -2.06	thresh	0.1	thresh	-2.06	1	5662
0.12	0.16	0.14 -2.06	thresh	0.14	thresh	-2.06	1	5764
0.16	0.2	0.18 -2.06	thresh	0.18	thresh	-2.06	1	5866
0.2	0.24	0.22 -2.06	thresh	0.22	thresh	-2.06	1	5968
0.24	0.28	0.26 -2.06	thresh	0.26	thresh	-2.06	1	6070
0.28	0.32	0.3 -2.06	thresh	0.3	thresh	-2.06	1	6172
0.32	0.36	0.34 -2.06	thresh	0.34	thresh	-2.06	1	6274
0.36	0.4	0.38 -2.06	thresh	0.38	thresh	-2.06	1	6376
0.4	0.44	0.42 -2.06	thresh	0.42	thresh	-2.06	1	6478
0.44	0.48	0.46 -2.06	thresh	0.46	thresh	-2.06	1	6580
0.48	0.52	0.5 -2.06	thresh	0.5	thresh	-2.06	1	6682
0.52	0.56	0.54 -2.06	thresh	0.54	thresh	-2.06	1	6784
0.56	0.6	0.58 -2.06	thresh	0.58	thresh	-2.06	1	6886
0.6	0.64	0.62 -2.06	thresh	0.62	thresh	-2.06	1	6988
0.64	0.68	0.66 -2.06	thresh	0.66	thresh	-2.06	1	7090
0.68	0.72	0.7 -2.06	thresh	0.7	thresh	-2.06	1	7192
0.72	0.76	0.74 -2.06	thresh	0.74	thresh	-2.06	1	7294
0.76	0.8	0.78 -2.06	thresh	0.78	thresh	-2.06	1	7396
0.8	0.84	0.82 -2.06	thresh	0.82	thresh	-2.06	1	7498
0.84	0.88	0.86 -2.06	thresh	0.86	thresh	-2.06	1	7600
0.88	0.92	0.9 -2.06	thresh	0.9	thresh	-2.06	1	7702
0.92	0.96	0.94 -2.06	thresh	0.94	thresh	-2.06	1	7804
0.96	1	0.98 -2.06	thresh	0.98	thresh	-2.06	1	7906
1	1.04	1.02 -2.06	thresh	1.02	thresh	-2.06	1	8009
1.04	1.08	1.06 -2.06	thresh	1.06	thresh	-2.06	1	8111
1.08	1.12	1.1 -2.06	thresh	1.1	thresh	-2.06	1	8213
1.12	1.16	1.14 -2.06	thresh	1.14	thresh	-2.06	1	8315
1.16	1.2	1.18 -2.06	thresh	1.18	thresh	-2.06	1	8417
1.2	1.24	1.22 -2.06	thresh	1.22	thresh	-2.06	1	8519
1.24	1.28	1.26 -2.06	thresh	1.26	thresh	-2.06	1	8621
1.28	1.32	1.3 -2.06	thresh	1.3	thresh	-2.06	1	8723
1.32	1.36	1.34 -2.06	thresh	1.34	thresh	-2.06	1	8825
1.36	1.4	1.38 -2.06	thresh	1.38	thresh	-2.06	1	8927
1.4	1.44	1.42 -2.06	thresh	1.42	thresh	-2.06	1	9029
1.44	1.48	1.46 -2.06	thresh	1.46	thresh	-2.06	1	9131
1.48	1.52	1.5 -2.06	thresh	1.5	thresh	-2.06	1	9233
1.52	1.56	1.54 -2.06	thresh	1.54	thresh	-2.06	1	9335
1.56	1.6	1.58 -2.06	thresh	1.58	thresh	-2.06	1	9437
1.6	1.64	1.62 -2.06	thresh	1.62	thresh	-2.06	1	9539
1.64	1.68	1.66 -2.06	thresh	1.66	thresh	-2.06	1	9641
1.68	1.72	1.7 -2.06	thresh	1.7	thresh	-2.06	1	9743
1.72	1.76	1.74 -2.06	thresh	1.74	thresh	-2.06	1	9845
1.76	1.8	1.78 -2.06	thresh	1.78	thresh	-2.06	1	9947
1.8	1.84	1.82 -2.06	thresh	1.82	thresh	-2.06	1	10049
1.84	1.88	1.86 -2.06	thresh	1.86	thresh	-2.06	1	10151
1.88	1.92	1.9 -2.06	thresh	1.9	thresh	-2.06	1	10253
1.92	1.96	1.94 -2.06	thresh	1.94	thresh	-2.06	1	10355
1.96	2	1.98 -2.06	thresh	1.98	thresh	-2.06	1	10457
-2.12	-2.08	-2.1 -2.02	thresh	-2.1	thresh	-2.02	1	5355
-2.08	-2.04	-2.06 -2.02	thresh	-2.06	thresh	-2.02	1	5253
-2.04	-2	1	thresh	-2.02	thresh	-2.02	1	7957
-2	-1.96	-1.98 -2.02	thresh	-1.98	thresh	-2.02	1	5048
-1.96	-1.92	-1.94 -2.02	thresh	-1.94	thresh	-2.02	1	4946
-1.92	-1.88	-1.9 -2.02	thresh	-1.9	thresh	-2.02	1	4844
-1.88	-1.84	-1.86 -2.02	thresh	-1.86	thresh	-2.02	1	4742
-1.84	-1.8	-1.82 -2.02	thresh	-1.82	thresh	-2.02	1	4640
-1.8	-1.76	-1.78 -2.02	thresh	-1.78	thresh	-2.02	1	4538
-1.76	-1.72	-1.74 -2.02	thresh	-1.74	thresh	-2.02	1	4436
-1.72	-1.68	-1.7 -2.02	thresh	-1.7	thresh	-2.02	1	4334
-1.68	-1.64	-1.66 -2.02	thresh	-1.66	thresh	-2.02	1	4232
-1.64	-1.6	-1.62 -2.02	thresh	-1.62	thresh	-2.02	1	4130
-1.6	-1.56	-1.58 -2.02	thresh	-1.58	thresh	-2.02	1	4028
-1.56	-1.52	-1.54 -2.02	thresh	-1.54	thresh	-2.02	1	3926
-1.52	-1.48	-1.5 -2.02	thresh	-1.5	thresh	-2.02	1	3824
-1.48	-1.44	-1.46 -2.02	thresh	-1.46	thresh	-2.02	1	3722
-1.44	-1.4	-1.42 -2.02	thresh	-1.42	thresh	-2.02	1	3620
-1.4	-1.36	-1.38 -2.02	thresh	-1.38	thresh	-2.02	1	3518
-1.36	-1.32	-1.34 -2.02	thresh	-1.34	thresh	-2.02	1	3416
-1.32	-1.28	-1.3 -2.02	thresh	-1.3	thresh	-2.02	1	3314
-1.28	-1.24	-1.26 -2.02	thresh	-1.26	thresh	-2.02	1	3212
-1.24	-1.2	-1.22 -2.02	thresh	-1.22	thresh	-2.02	1	3110
-1.2	-1.16	-1.18 -2.02	thresh	-1.18	thresh	-2.02	1	3008
-1.16	-1.12	-1.14 -2.02	thresh	-1.14	thresh	-2.02	1	2906
-1.12	-1.08	-1.1 -2.02	thresh	-1.1	thresh	-2.02	1	2804
-1.08	-1.04	-1.06 -2.02	thresh	-1.06	thresh	-2.02	1	2702
-1.04	-1	-1.02 -2.02	thresh	-1.02	thresh	-2.02	1	2600
-1	-0.96	-0.98 -2.02	thresh	-0.98	thresh	-2.02	1	2498
-0.96	-0.92	-0.94 -2.02	thresh	-0.94	thresh	-2.02	1	2396
-0.92	-0.88	-0.9 -2.02	thresh	-0.9	thresh	-2.02	1	2294
-0.88	-0.84	-0.86 -2.02	thresh	-0.86	thresh	-2.02	1	2192
-0.84	-0.8	-0.82 -2.02	thresh	-0.82	thresh	-2.02	1	2090
-0.8	-0.76	-0.78 -2.02	thresh	-0.78	thresh	-2.02	1	1988
-0.76	-0.72	-0.74 -2.02	thresh	-0.74	thresh	-2.02	1	1886
-0.72	-0.68	-0.7 -2.02	thresh	-0.7	thresh	-2.02	1	1784
-0.68	-0.64	-0.66 -2.02	thresh	-0.66	thresh	-2.02	1	1682
-0.64	-0.6	-0.62 -2.02	thresh	-0.62	thresh	-2.02	1	1580
-0.6	-0.56	-0.58 -2.02	thresh	-0.58	thresh	-2.02	1	1478
-0.56	-0.52	-0.54 -2.02	thresh	-0.54	thresh	-2.02	1	1376
-0.52	-0.48	-0.5 -2.02	thresh	-0.5	thresh	-2.02	1	1274
-0.48	-0.44	-0.46 -2.02	thresh	-0.46	thresh	-2.02	1	1172
-0.44	-0.4	-0.42 -2.02	thresh	-0.42	thresh	-2.02	1	1070
-0.4	-0.36	-0.38 -2.02	thresh	-0.38	thresh	-2.02	1	968
-0.36	-0.32	-0.34 -2.02	thresh	-0.34	thresh	-2.02	1	866
-0.32	-0.28	-0.3 -2.02	thresh	-0.3	thresh	-2.02	1	764
-0.28	-0.24	-0.26 -2.02	thresh	-0.26	thresh	-2.02	1	662
-0.24	-0.2	-0.22 -2.02	thresh	-0.22	thresh	-2.02	1	560
-0.2	-0.16	-0.18 -2.02	thresh	-0.18	thresh	-2.02	1	458
-0.16	-0.12	-0.14 -2.02	thresh	-0.14	thresh	-2.02	1	356
-0.12	-0.0800000000000001	-0.1 -2.02	thresh	-0.1	thresh	-2.02	1	254
-0.0800000000000001	-0.04	-0.0600000000000001 -2.02	thresh	-0.0600000000000001	thresh	-2.02	1	152
-0.04	0	-0.02 -2.02	thresh	-0.02	thresh	-2.02	1	50
0	0.04	0.02 -2.02	thresh	0.02	thresh	-2.02	1	5457
0.04	0.0800000000000001	0.0600000000000001 -2.02	thresh	0.0600000000000001	thresh	-2.02	1	5559
0.0800000000000001	0.12	0.1 -2.02	thresh	0.1	thresh	-2.02	1	5661
0.12	0.16	0.14 -2.02	thresh	0.14	thresh	-2.02	1	5763
0.16	0.2	0.18 -2.02	thresh	0.18	thresh	-2.02	1	5865
0.2	0.24	0.22 -2.02	thresh	0.22	thresh	-2.02	1	5967
0.24	0.28	0.26 -2.02	thresh	0.26	thresh	-2.02	1	6069
0.28	0.32	0.3 -2.02	thresh	0.3	thresh	-2.02	1	6171
0.32	0.36	0.34 -2.02	thresh	0.34	thresh	-2.02	1	6273
0.36	0.4	0.38 -2.02	thresh	0.38	thresh	-2.02	1	6375
0.4	0.44	0.42 -2.02	thresh	0.42	thresh	-2.02	1	6477
0.44	0.48	0.46 -2.02	thresh	0.46	thresh	-2.02	1	6579
0.48	0.52	0.5 -2.02	thresh	0.5	thresh	-2.02	1	6681
0.52	0.56	0.54 -2.02	thresh	0.54	thresh	-2.02	1	6783
0.56	0.6	0.58 -2.02	thresh	0.58	thresh	-2.02	1	6885
0.6	0.64	0.62 -2.02	thresh	0.62	thresh	-2.02	1	6987
0.64	0.68	0.66 -2.02	thresh	0.66	thresh	-2.02	1	7089
0.68	0.72	0.7 -2.02	thresh	0.7	thresh	-2.02	1	7191
0.72	0.76	0.74 -2.02	thresh	0.74	thresh	-2.02	1	7293
0.76	0.8	0.78 -2.02	thresh	0.78	thresh	-2.02	1	7395
0.8	0.84	0.82 -2.02	thresh	0.82	thresh	-2.02	1	7497
0.84	0.88	0.86 -2.02	thresh	0.86	thresh	-2.02	1	7599
0.88	0.92	0.9 -2.02	thresh	0.9	thresh	-2.02	1	7701
0.92	0.96	0.94 -2.02	thresh	0.94	thresh	-2.02	1	7803
0.96	1	0.98 -2.02	thresh	0.98	thresh	-2.02	1	7905
1	1.04	1.02 -2.02	thresh	1.02	thresh	-2.02	1	8008
1.04	1.08	1.06 -2.02	thresh	1.06	thresh	-2.02	1	8110
1.08	1.12	1.1 -2.02	thresh	1.1	thresh	-2.02	1	8212
1.12	1.16	1.14 -2.02	thresh	1.14	thresh	-2.02	1	8314
1.16	1.2	1.18 -2.02	thresh	1.18	thresh	-2.02	1	8416
1.2	1.24	1.22 -2.02	thresh	1.22	thresh	-2.02	1	8518
1.24	1.28	1.26 -2.02	thresh	1.26	thresh	-2.02	1	8620
1.28	1.32	1.3 -2.02	thresh	1.3	thresh	-2.02	1	8722
1.32	1.36	1.34 -2.02	thresh	1.34	thresh	-2.02	1	8824
1.36	1.4	1.38 -2.02	thresh	1.38	thresh	-2.02	1	8926
1.4	1.44	1.42 -2.02	thresh	1.42	thresh	-2.02	1	9028
1.44	1.48	1.46 -2.02	thresh	1.46	thresh	-2.02	1	9130
1.48	1.52	1.5 -2.02	thresh	1.5	thresh	-2.02	1	9232
1.52	1.56	1.54 -2.02	thresh	1.54	thresh	-2.02	1	9334
1.56	1.6	1.58 -2.02	thresh	1.58	thresh	-2.02	1	9436
1.6	1.64	1.62 -2.02	thresh	1.62	thresh	-2.02	1	9538
1.64	1.68	1.66 -2.02	thresh	1.66	thresh	-2.02	1	9640
1.68	1.72	1.7 -2.02	thresh	1.7	thresh	-2.02	1	9742
1.72	1.76	1.74 -2.02	thresh	1.74	thresh	-2.02	1	9844
1.76	1.8	1.78 -2.02	thresh	1.78	thresh	-2.02	1	9946
1.8	1.84	1.82 -2.02	thresh	1.82	thresh	-2.02	1	10048
1.84	1.88	1.86 -2.02	thresh	1.86	thresh	-2.02	1	10150
1.88	1.92	1.9 -2.02	thresh	1.9	thresh	-2.02	1	10252
1.92	1.96	1.94 -2.02	thresh	1.94	thresh	-2.02	1	10354
1.96	2	1.98 -2.02	thresh	1.98	thresh	-2.02	1	10456
-2.12	-2.08	-2.1 -1.98	thresh	-2.1	thresh	-1.98	1	5354
-2.08	-2.04	-2.06 -1.98	thresh	-2.06	thresh	-1.98	1	5252
-2.04	-2	-2.02 -1.98	thresh	-2.02	thresh	-1.98	1	5150
-2	-1.96	1	thresh	-1.98	thresh	-1.98	1	7957
-1.96	-1.92	-1.94 -1.98	thresh	-1.94	thresh	-1.98	1	4945
-1.92	-1.88	-1.9 -1.98	thresh	-1.9	thresh	-1.98	1	4843
-1.88	-1.84	-1.86 -1.98	thresh	-1.86	thresh	-1.98	1	4741
-1.84	-1.8	-1.82 -1.98	thresh	-1.82	thresh	-1.98	1	4639
-1.8	-1.76	-1.78 -1.98	thresh	-1.78	thresh	-1.98	1	4537
-1.76	-1.72	-1.74 -1.98	thresh	-1.74	thresh	-1.98	1	4435
-1.72	-1.68	-1.7 -1.98	thresh	-1.7	thresh	-1.98	1	4333
-1.68	-1.64	-1.66 -1.98	thresh	-1.66	thresh	-1.98	1	4231
-1.64	-1.6	-1.62 -1.98	thresh	-1.62	thresh	-1.98	1	4129
-1.6	-1.56	-1.58 -1.98	thresh	-1.58	thresh	-1.98	1	4027
-1.56	-1.52	-1.54 -1.98	thresh	-1.54	thresh	-1.98	1	3925
-1.52	-1.48	-1.5 -1.98	thresh	-1.5	thresh	-1.98	1	3823
-1.48	-1.44	-1.46 -1.98	thresh	-1.46	thresh	-1.98	1	3721
-1.44	-1.4	-1.42 -1.98	thresh	-1.42	thresh	-1.98	1	3619
-1.4	-1.36	-1.38 -1.98	thresh	-1.38	thresh	-1.98	1	3517
-1.36	-1.32	-1.34 -1.98	thresh	-1.34	thresh	-1.98	1	3415
-1.32	-1.28	-1.3 -1.98	thresh	-1.3	thresh	-1.98	1	3313
-1.28	-1.24	-1.26 -1.98	thresh	-1.26	thresh	-1.98	1	3211
-1.24	-1.2	-1.22 -1.98	thresh	-1.22	thresh	-1.98	1	3109
-1.2	-1.16	-1.18 -1.98	thresh	-1.18	thresh	-1.98	1	3007
-1.16	-1.12	-1.14 -1.98	thresh	-1.14	thresh	-1.98	1	2905
-1.12	-1.08	-1.1 -1.98	thresh	-1.1	thresh	-1.98	1	2803
-1.08	-1.04	-1.06 -1.98	thresh	-1.06	thresh	-1.98	1	2701
-1.04	-1	-1.02 -1.98	thresh	-1.02	thresh	-1.98	1	2599
